participant_id,gender_clean,age_num,age_bin,clean_item_name,checklist_value
R_1M5v1KCbmHPvCCs,boy,3,3 to 4,animal figurines,animal figurines
R_1M5v1KCbmHPvCCs,boy,3,3 to 4,balls,"balls (if yes, enter the specific types of objects below)"
R_1M5v1KCbmHPvCCs,boy,3,3 to 4,action figures,action figures
R_1M5v1KCbmHPvCCs,boy,3,3 to 4,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_1M5v1KCbmHPvCCs,boy,3,3 to 4,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_1Quf1pQ0TxxkDyO,girl,6,5 to 6,dolls,dolls
R_1Quf1pQ0TxxkDyO,girl,6,5 to 6,stuffed animals,stuffed animals
R_1Quf1pQ0TxxkDyO,girl,6,5 to 6,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_1Quf1pQ0TxxkDyO,girl,6,5 to 6,posters,posters
R_2TvfAZQArjyTFRi,girl,11,11 to 12,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2TvfAZQArjyTFRi,girl,11,11 to 12,books,"specific books or book series (if yes, enter any book series your child collects)"
R_2TvfAZQArjyTFRi,girl,11,11 to 12,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,dolls,dolls
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,animal figurines,animal figurines
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,stuffed animals,stuffed animals
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,action figures,action figures
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_1Eaqc2KrjG3cuzm,girl,3,3 to 4,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_1H026a5WimiL8SA,girl,5,5 to 6,stuffed animals,stuffed animals
R_1H026a5WimiL8SA,girl,5,5 to 6,food,"food / perishables (e.g., specific kinds of candy)"
R_1H026a5WimiL8SA,girl,5,5 to 6,holiday,"holiday objects (e.g., snow globes or other ornaments)"
R_1H026a5WimiL8SA,girl,5,5 to 6,sticks,sticks
R_1H026a5WimiL8SA,girl,5,5 to 6,clothes,"specific kinds of clothes or shoes (if yes, enter the specific kind below)"
R_1H026a5WimiL8SA,girl,5,5 to 6,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_1H026a5WimiL8SA,girl,5,5 to 6,postcards,postcards
R_DBQBDvsBUs39MbL,boy,5,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_DBQBDvsBUs39MbL,boy,5,5 to 6,sticks,sticks
R_2V2zzTFFDhcIwFR,boy,8,7 to 8,coins,coins / money
R_2V2zzTFFDhcIwFR,boy,8,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2V2zzTFFDhcIwFR,boy,8,7 to 8,sticks,sticks
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,stuffed animals,stuffed animals
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,action figures,action figures
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_3QYlzgkKi2PPAGz,boy,6,5 to 6,books,"specific books or book series (if yes, enter any book series your child collects)"
R_2wnO54gEUvkpp4u,girl,8,7 to 8,stuffed animals,stuffed animals
R_2wnO54gEUvkpp4u,girl,8,7 to 8,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_2wnO54gEUvkpp4u,girl,8,7 to 8,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_2wnO54gEUvkpp4u,girl,8,7 to 8,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_2wnO54gEUvkpp4u,girl,8,7 to 8,books,"specific books or book series (if yes, enter any book series your child collects)"
R_3jeCm1wOAvkub9U,girl,5,5 to 6,stuffed animals,stuffed animals
R_3jeCm1wOAvkub9U,girl,5,5 to 6,food,"food / perishables (e.g., specific kinds of candy)"
R_0H9YBRPUcpmB69z,girl,8,7 to 8,food,"food / perishables (e.g., specific kinds of candy)"
R_0H9YBRPUcpmB69z,girl,8,7 to 8,coins,coins / money
R_0H9YBRPUcpmB69z,girl,8,7 to 8,magazines,magazines/ newspapers
R_0H9YBRPUcpmB69z,girl,8,7 to 8,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_UFt6i8AykLzFAEV,boy,9,9 to 10,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_UFt6i8AykLzFAEV,boy,9,9 to 10,balls,"balls (if yes, enter the specific types of objects below)"
R_UFt6i8AykLzFAEV,boy,9,9 to 10,coins,coins / money
R_UFt6i8AykLzFAEV,boy,9,9 to 10,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_UFt6i8AykLzFAEV,boy,9,9 to 10,sticks,sticks
R_UFt6i8AykLzFAEV,boy,9,9 to 10,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
