id,freelist_item,cleaned_name,unified_name,object_type,category,natural,taxonomic_content,taxonomic_object,animal-related,fiction-related,collectible,freelist_item_notes
1,Superheroes,superheroes,superheroes,toy figurines,toys,artifact,character,toy,,y,,
2,Hot wheels cars,hot wheels cars,hot wheels cars,cars,toys,artifact,vehicle,toy,,,y,
3,Dolls,dolls,dolls,dolls,toys,artifact,character,toy,,,,
4,Costumes,costumes,costumes,costumes,clothes,artifact,NA,clothing,,,,
5,Markers,markers,markers,markers,art / crafts / art supplies / stationery,artifact,NA,tool,,,,
6,Notebooks,notebooks,notebooks,notebooks,art / crafts / art supplies / stationery,artifact,NA,tool,,,,
7,Sketchbooks,sketchbooks,sketchbooks,sketchbooks,art / crafts / art supplies / stationery,artifact,NA,tool,,,,
8,Art supplies,art supplies,art supplies,art supplies,art / crafts / art supplies / stationery,artifact,NA,tool,,,,
9,Cars/trucks,cars and trucks,cars,cars,toys,artifact,vehicle,toy,,,,
10,Paw Patrol figures,paw patrol figures,paw patrol figures,toy figurines,toys,artifact,character,toy,y,y,y,
11,Bluey figures,bluey figures,bluey figures,toy figurines,toys,artifact,character,toy,y,,y,
12,Stuffed animals,stuffed animals,stuffed animals,stuffed animals,toys,artifact,animal,toy,y,,,
13,Hairbows,hairbows,hair bows,hair bows,clothes,artifact,NA,clothing,,,,
14,Books,books,books,books,books,artifact,NA,media,,,,
15,rocks,rocks,rocks,rocks,rocks,natural,NA,natural,,,,
16,coins,coins,coins,coins,money,artifact,NA,money,,,,
17,sticks,sticks,sticks,sticks,sticks,natural,NA,natural,,,,
18,Pokemon cards,pokemon cards,pokemon cards,trading cards,trading cards,artifact,character,cards,y,y,y,
19,pokemon in video games,pokemon (video game),pokemon (video game),digital objects,digital,artifact,character,digital,y,y,y,
20,mario legos,mario legos,mario legos,legos,toys,artifact,character,construction,,y,y,
21,stuffed animals,stuffed animals,stuffed animals,stuffed animals,toys,artifact,animal,toy,y,,,
22,books,books,books,books,books,artifact,NA,media,,,,
23,American Girl Magazines,american girl magazines,american girl magazines,magazines,books,artifact,character,media,,y,y,
24,American Girl Books,american girl books,american girl books,books,books,artifact,character,media,,y,y,
