response_id,participant_id,multi_rid,age,age_num,age_bin,gender,gender_clean,l1,l1percent,other_languages,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_7_text,parent_education,country,household_income,collection_name_original,favorite,collection_origin,activities,collect_friends,interest_learning,interest_curious,interest_talking,interest_playing,collection_reason,ask_child,collection_number,collection_name_matched,freelist_index,match_confidence,is_favorite
R_1M5v1KCbmHPvCCs,collect_3_003,NA,3,3,3 to 4,Male,boy,English,100%,N/A,NA,Black or African American,NA,NA,NA,NA,NA,NA,NA,Some college/ university,USA,"Less than $24,999",Superheroes,Hot wheel cars,I buy him one from the grocery store when we go shopping.,Plays with them,Yes,3,5,5,7,He likes sports cars or colorful ones that look like race cars.,N/A,1,Superheroes,1,1,FALSE
R_1Quf1pQ0TxxkDyO,collect_3_003,R_1M5v1KCbmHPvCCs,6,6,5 to 6,Female,girl,English,100%,N/A,NA,Black or African American,NA,NA,NA,NA,NA,NA,NA,Some college/ university,USA,"Less than $24,999",Dolls,Costumes,"Bought from the store, gifts from family members.","Plays with them, pretends to be a mom.",Yes,2,3,6,7,She likes to pretend to be a mom.,Because when I feel like when I want to be a mom I play like they are kids.,1,Dolls,3,1,FALSE
R_2TvfAZQArjyTFRi,collect_3_003,R_1Quf1pQ0TxxkDyO,11,11,11 to 12,Female,girl,English,100%,N/A,NA,Black or African American,NA,NA,NA,NA,NA,NA,NA,Some college/ university,USA,"Less than $24,999",Markers,Art supplies,"Bought from the store, gifts from family members.",She uses them for her artwork and animations.,Yes,4,6,6,7,She’s a really good artist and enjoys drawing almost all of the time.,To draw,1,markers,75,1,FALSE
R_1Eaqc2KrjG3cuzm,collect_3_008,NA,3,3,3 to 4,Female,girl,English,Always,None,White,NA,NA,NA,NA,NA,NA,NA,NA,Not applicable/ unknown,USA,Prefer not to answer,Dolls,Bluey,Gifts,Roll play,Yes,6,6,6,6,To have the opportunity to roll play using her imagination,They are my baby’s,1,Dolls,3,1,FALSE
R_1H026a5WimiL8SA,collect_5_001,NA,5,5,5 to 6,Female,girl,English,100%,None,White,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,United States of America,"$50,000 to $99,999",Stuffed animals,Stuffed animals,"Mostly gifts, asks for them at stores","Playing pretend, organizing into families, drawing them, showing them to friends",Yes,4,4,6,7,"They’re cute and she can act out her affection, care for them like they are children or babies",NA,1,stuffed animals,15,1,TRUE
R_DBQBDvsBUs39MbL,collect_5_008,NA,5,5,5 to 6,m,boy,english,95,turkish,White,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,turkey,"$200,000 or more",rocks,rocks,gathering outdoors,"counting, showing them to friends",Yes,7,7,5,7,they look cool,NA,1,rocks,7,1,TRUE
R_2V2zzTFFDhcIwFR,collect_5_008,R_DBQBDvsBUs39MbL,8,8,7 to 8,m,boy,english,95,turkish,White,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,turkey,"$200,000 or more",coins,rocks,"collect outside, gifts",study them,Yes,7,7,7,7,finds them fascinating,NA,1,Coins,125,1,FALSE
R_3QYlzgkKi2PPAGz,collect_6_004,NA,6,6,5 to 6,male,boy,English,100%,n/a,White,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,USA and USA,"$100,000 to $149,999",Pokemon cards,Pokemon cards,buying from a store or receiving gifts,"plays with them, looks at them, organizes them according to various attributes (eg highest health points)",Yes,7,6,6,6,"He enjoys playing video games, he likes looking at the different things the pokemon can do, he likes trying to play the card game",Because I like Pokemon,1,Pokemon Cards,97,1,TRUE
R_2wnO54gEUvkpp4u,collect_6_004,R_3QYlzgkKi2PPAGz,8,8,7 to 8,female,girl,English,100%,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,USA/USA,"$100,000 to $149,999",stuffed animals,stuffed animals,"presents, rewards for good behavior, souvenirs","plays with them, displays them, arranges them in different locations",Yes,2,4,5,7,She thinks they are cute and likes to play with them or sleep with them.,So I can play with them and use them for games,1,stuffed animals,15,1,TRUE
R_0H9YBRPUcpmB69z,collect_5_005,R_3jeCm1wOAvkub9U,8,8,7 to 8,girl,girl,English,100%,NA,White,NA,NA,NA,Asian,NA,NA,NA,NA,Bachelor's degree,USA,"$50,000 to $99,999",American Girl Magazines,fabric,at book sales- the magazine is not in print anymore,"reads them, arranges them, uses them as reference to do projects, cuts out pages to hang on wall",No,6,6,6,6,"contains topics she is interested in (crafts, recipes, reading)","""they're just really fun to read""",1,American Girl Magazines,179,1,FALSE
